boro_cd,Count Closed,Number of Inspections,Percent Closed,Top 5 Closed
227,7,64,10.9375,American
412,394,4807,8.196380279,"Spanish, Chicken, Caribbean, Chinese, Bangladeshi"
312,273,3341,8.171206226,"Chinese, Bangladeshi, Mexican, Jewish/Kosher, Spanish"
309,207,2662,7.776108189,"Caribbean, Jewish/Kosher, Chinese, Chicken, Mediterranean"
314,287,3818,7.51702462,"Caribbean, American, Jewish/Kosher, Chinese, Pizza"
355,5,74,6.756756757,American
317,192,3019,6.359721762,"Caribbean, Bakery Products/Desserts, Chinese, Japanese, Vegetarian"
203,62,1014,6.114398422,"Pizza, African, Caribbean, Chinese, Latin American"
413,184,3116,5.905006418,"Caribbean, Chinese, Creole, Chicken, American"
207,150,2594,5.782575173,"Chinese, Latin American, Spanish, Pizza, Chicken"
311,269,4720,5.699152542,"Chinese, Bakery Products/Desserts, Pizza, American, Japanese"
307,387,6842,5.656240865,"Chinese, Bakery Products/Desserts, Mexican, Coffee/Tea, Japanese"
318,179,3191,5.609526794,"Caribbean, American, Chinese, Sandwiches, Chicken"
103,904,17060,5.2989449,"Chinese, American, Japanese, Pizza, Asian/Asian Fusion"
408,158,3063,5.158341495,"Bangladeshi, Pizza, Indian, Jewish/Kosher, Sandwiches"
212,154,3087,4.988662132,"Caribbean, Chinese, African, Chicken, Hawaiian"
204,166,3383,4.906887378,"Latin American, Chinese, Spanish, Chicken, Italian"
211,119,2460,4.837398374,"Caribbean, Chinese, Coffee/Tea, American, Mexican"
315,205,4241,4.833765621,"American, Jewish/Kosher, Mexican, Russian, Pizza"
206,115,2393,4.805683243,"Chinese, Latin American, Pizza, American, Bakery Products/Desserts"
409,192,3997,4.803602702,"Indian, Latin American, Chinese, Spanish, Caribbean"
501,218,4543,4.798591239,"American, Chinese, Sandwiches, Italian, Tex-Mex"
313,78,1626,4.79704797,"Russian, Bottled Beverages, Chinese, Pizza, Caribbean"
414,58,1220,4.754098361,"Chinese, Pizza, Caribbean"
304,196,4144,4.72972973,"Spanish, Indian, Mexican, Latin American, Chinese"
303,190,4178,4.547630445,"Chicken, American, African, Caribbean, Indian"
407,494,11161,4.426126691,"Chinese, Korean, Bakery Products/Desserts, Asian/Asian Fusion, Coffee/Tea"
111,178,4063,4.380999262,"American, Caribbean, Thai, Mexican, Chinese"
316,50,1152,4.340277778,"Chinese, Spanish, Soul Food, Latin American, Mexican"
305,131,3020,4.337748344,"Caribbean, Chinese, Latin American, African, Chicken"
308,154,3604,4.273029967,"Caribbean, African, Indian, Japanese, Chicken"
205,101,2376,4.250841751,"African, Latin American, Chinese, Chicken, American"
310,205,4830,4.244306418,"Chinese, Coffee/Tea, Mediterranean, American, Mexican"
109,150,3577,4.193458205,"Chinese, Sandwiches, Juice, Smoothies, Fruit Salads, Italian, Caribbean"
302,334,7984,4.183366733,"American, Chinese, African, Italian, Asian/Asian Fusion"
306,289,7032,4.109783845,"American, Pizza, Japanese, Coffee/Tea, Sandwiches"
201,107,2668,4.010494753,"Tex-Mex, Juice, Smoothies, Fruit Salads, Mexican, African, American"
106,429,10857,3.951367781,"American, Japanese, Chinese, Mexican, Juice, Smoothies, Fruit Salads"
202,53,1361,3.894195445,"Chicken, Chinese, Spanish, Sandwiches/Salads/Mixed Buffet, Latin American"
102,592,15451,3.831467219,"American, Italian, Bakery Products/Desserts, French, Chinese"
112,219,5732,3.820655967,"Latin American, Spanish, American, Pizza, Mexican"
110,104,2731,3.808128891,"African, Indian, Chicken, Steakhouse, Soul Food"
403,253,6647,3.806228374,"Latin American, Peruvian, Chinese, Asian/Asian Fusion, Spanish"
208,91,2413,3.771239121,"American, Chinese, Sandwiches, Tex-Mex, Mexican"
405,192,5193,3.697284806,"Latin American, Pizza, Indian, Japanese, Chinese"
301,364,9998,3.640728146,"American, Coffee/Tea, Japanese, Chinese, Mexican"
nan,210,5803,3.618817853,"American, Caribbean, African, Coffee/Tea, Chinese"
209,99,2780,3.561151079,"Pizza, Chinese, Mexican, Chicken, Latin American"
107,218,6624,3.291062802,"Chinese, Pizza, Japanese, Sandwiches, Thai"
404,196,6053,3.23806377,"Latin American, Chinese, Spanish, Pizza, Bakery Products/Desserts"
401,306,9640,3.174273859,"American, Chinese, Bakery Products/Desserts, Latin American, Spanish"
108,308,9895,3.112683173,"American, Japanese, Pizza, Indian, Coffee/Tea"
104,402,13106,3.067297421,"American, Japanese, Pizza, Italian, Thai"
406,96,3241,2.96204875,"Japanese, Jewish/Kosher, Chinese, Pizza, Bagels/Pretzels"
402,164,5992,2.736982644,"American, Asian/Asian Fusion, Pizza, Chinese, Filipino"
410,97,3677,2.638020125,"Caribbean, Chinese, American, Pizza, Chicken"
411,89,3441,2.586457425,"American, Chinese, Italian, Korean, Asian/Asian Fusion"
101,235,9322,2.520918258,"American, Italian, Mediterranean, Coffee/Tea, Indian"
105,655,26502,2.471511584,"American, Chinese, Sandwiches, Japanese, Italian"
210,77,3200,2.40625,"American, Latin American, Seafood, Chinese, Pizza"
502,68,3046,2.232435982,"Italian, Pizza, Bagels/Pretzels, Peruvian, Coffee/Tea"
483,8,634,1.261829653,"American, Coffee/Tea"
503,28,2400,1.166666667,"German, Italian, American, Bakery Products/Desserts, Juice, Smoothies, Fruit Salads"
