CUISINE DESCRIPTION,Count Closed,Count,Percent Closed
Bangladeshi,177,1067.0,16.588566073102157
African,222,1609.0,13.79738968303294
Creole/Cajun,14,127.0,11.023622047244094
Brazilian,32,374.0,8.55614973262032
Creole,30,419.0,7.159904534606206
Afghan,9,131.0,6.870229007633588
Caribbean,792,11752.0,6.73927842069435
Indian,370,5602.0,6.604784005712245
Polish,26,404.0,6.435643564356436
Chinese,2165,33884.0,6.389446346358163
Russian,57,929.0,6.135629709364909
Hotdogs/Pretzels,14,237.0,5.9071729957805905
Ethiopian,11,190.0,5.7894736842105265
Turkish,57,1011.0,5.637982195845697
Bagels/Pretzels,108,1983.0,5.446293494704992
Chicken,409,7608.0,5.375920084121977
Chinese/Japanese,39,727.0,5.364511691884457
Jewish/Kosher,236,4491.0,5.254954353150746
Vegetarian,63,1219.0,5.1681706316652996
Latin American,740,14746.0,5.0183100501831
Japanese,596,12090.0,4.929693961952027
Peruvian,81,1645.0,4.924012158054712
Southeast Asian,76,1574.0,4.8284625158831
Soul Food,40,832.0,4.807692307692308
Bakery Products/Desserts,453,9632.0,4.703073089700997
Iranian,3,64.0,4.6875
Spanish,454,9840.0,4.613821138211382
Thai,205,4490.0,4.565701559020044
Sandwiches,367,8391.0,4.373733762364438
Chinese/Cuban,13,299.0,4.3478260869565215
Asian/Asian Fusion,233,5399.0,4.3156140025930725
Soups/Salads/Sandwiches,37,860.0,4.302325581395349
Eastern European,49,1201.0,4.0799333888426315
Pizza,759,19725.0,3.8479087452471488
German,16,421.0,3.800475059382423
"Juice, Smoothies, Fruit Salads",145,3971.0,3.6514731805590532
Mexican,439,12087.0,3.6320013237362456
Tex-Mex,135,3720.0,3.6290322580645165
Middle Eastern,85,2390.0,3.556485355648536
Filipino,19,537.0,3.5381750465549344
Pakistani,16,455.0,3.5164835164835164
Sandwiches/Salads/Mixed Buffet,47,1346.0,3.4918276374442794
Hawaiian,16,495.0,3.2323232323232323
Mediterranean,112,3506.0,3.194523673702225
French,126,4004.0,3.146853146853147
Italian,430,13706.0,3.137312126076171
Australian,12,383.0,3.1331592689295036
Barbecue,26,846.0,3.0732860520094563
Coffee/Tea,457,15428.0,2.9621467461757844
Korean,120,4539.0,2.6437541308658297
Frozen Desserts,63,2566.0,2.4551831644583006
American,1560,64497.0,2.4187171496348667
Salads,20,890.0,2.247191011235955
Other,18,839.0,2.1454112038140645
Hamburgers,94,4474.0,2.1010281627179257
Hotdogs,4,194.0,2.0618556701030926
Seafood,51,2615.0,1.9502868068833654
Greek,28,1834.0,1.5267175572519083
Portuguese,2,133.0,1.5037593984962405
Steakhouse,16,1206.0,1.3266998341625207
Tapas,7,531.0,1.3182674199623352
Continental,5,398.0,1.256281407035176
Donuts,51,4182.0,1.2195121951219512
Bottled Beverages,12,1051.0,1.141769743101808
Irish,26,2850.0,0.9122807017543859
